Template,Type,Short code,Category,Prior to,Active?,Where it prints,Description (staff),Description (borrower)
VA - Child Care Letter,Underwriting,UW,Legal,Approval,yes,ExternalPrint,,Child care letter signed by provider documenting actual child care cost
Appraisal Field Review,Underwriting,UW,Property,Approval,yes,InternalPrint,Appraisal Field Review To Be Ordered.  Field Reviewer Must Not Be Related To Appraiser,
Max PITIA,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint | InternalPrint,,PITIA cannot exceed: $________.
Request verifcation of Rent,Underwriting,UW,Credit,Approval,yes,InternalPrint,,
Final Inspection,Underwriting,UW,Property,Approval,yes,ExternalPrint,,A certification of completion is required to verify the home improvements have been completed.
Collect Title commitment and related title documents,Underwriting,UW,Property,Approval,yes,InternalPrint,,
Homeowner's Insurance Policy,Underwriting,YSCAP,Property,Docs,yes,ExternalPrint,,"Homeowner's hazard insurance policy or dec page with correct mortgagee clause to include adequate coverages and deductible, with minimum of 3 months continued coverage. It must also have evidence of rent loss coverage equal to 6 months rental income and liability coverage for a minimum of $100,000. Mortgagee Clause to read: YS Capital Group, ISAOA/ATIMA 5 New Montrose Avenue, #Bsmt Brooklyn, NY 11211. (Proof Hazard Premium is paid in full prior to funding. Any Hazard premium balance can be paid at closing.)"
Private Road Maintenance Agreement,Underwriting,UW,Property,Approval,yes,ExternalPrint,,Provide evidence that the Private Road or Common-Use Driveway is protected by a recorded permanent easement or recorded right-of-way from the property to a public road and that a provision exists for it s continued maintenance.
Earnest Money Deposit,Underwriting,YSCAP,Assets,Docs,yes,ExternalPrint | InternalPrint,Earnest Money Deposit verification,"Provide a copy of earnest money deposit check/wire receipt and corresponding asset statement showing proof of funds, along with a receipt from escrow/closing agent/attorney."
USDA - Pool Requirement,Underwriting,UW,Property,Approval,yes,ExternalPrint | InternalPrint,No swimming pools allowed on property (unless USDA specific requirements are met).,No swimming pools allowed on property (unless USDA specific requirements are met).
Funds to Close: Max,Underwriting,YSCAP,Miscellaneous,Funding,yes,ExternalPrint,,Max Funds to Close:__________________. **Total Liquid Verified for Cash to Close:**__________________. Verified for Reserves:$__________________
Final Title Policy,Post-Closing,PC,Legal,Purchase,yes,ExternalPrint | InternalPrint,Final Title Policy,Final Title Policy
SSN Verification - ,Underwriting,UW,Credit,Approval,yes,ExternalPrint | InternalPrint,,Please provide a copy of your Social Security Card
Appraisal – Review,Underwriting,YSCAP,Property,Docs,yes,InternalPrint | ExternalPrint,Investor Oak Tree or AHL- Required. They require a CDA regardless of SSR- Update,Obtain SSRs for Fannie Mae's Collateral Underwriter (CU) and Freddie Mac's Loan Collateral Adviser (LCA). If risk score is not available or greater than threshold then a CDA is required. 
VA - Statement of Military Service,Underwriting,UW,Income,Approval,yes,ExternalPrint,,Provide a Statement of Military Service.
Collateral  Second Level Required,Underwriting,YSCAP,Property,Docs,yes,InternalPrint,Must be Reviewed by: ACooper and then her write up is to be sent to Esther Bochner | [contact redacted] — Final sign-off escalates to management as needed.She will escalate to President for review. ,Appraisal value must be reviewed for accuracy. Reviewer to verify purchase date and previous purchase price against public records to confirm the rider is completed correctly. Any appraisal value exceeding 145% of the previous purchase price must follow the escalation route for final sign-off. 
Verification of Mortgage Subject property and Primary housing-  Credit supplement - ,Underwriting,UW,Credit,Approval,yes,ExternalPrint | InternalPrint,Credit supplement,We will need 12 months of payment history for both the subject property and your primary residence. Our credit verification company will contact you shortly and will connect with your bank to confirm payment history. Please expect a verification phone call for this process.
Gift Funds,Underwriting,UW,Assets,Docs,yes,ExternalPrint,,"If any portion of funds to close is being gifted, provide: (1) executed gift letter showing donor name, donor relationship, gift amount, and confirming no repayment is required; (2) proof of donor ability to gift (donor asset statement showing sourced funds); and (3) proof of transfer of gift funds from donor to borrower (or directly to title at closing). Borrower must also meet the minimum borrower own-funds contribution toward down payment / cash to close per investor matrix."
Mortgage Statements - ,Underwriting,UW,Credit,Approval,yes,ExternalPrint | InternalPrint,All Mortgages on Credit report,Please provide your Mortgage Statement for all Mortgages reflecting on your credit report. creddxxx acc#xxxx
VA - Certificate of Eligibility,Underwriting,UW,Miscellaneous,Approval,yes,ExternalPrint,,Certificate Of Eligibility Documenting Full Entitlement
"Proof Collections, Judgments, etc are paid",Underwriting,UW,Assets,Approval,yes,ExternalPrint,,Supporting documentation as evidence there are no open collections/judgements
Max Cash to Close,Underwriting,YSCAP,Miscellaneous,Funding,yes,ExternalPrint | InternalPrint,,Maximum cash to close $________. If additional cash is required the loan file must be re-underwritten prior to funding showing sufficient assets to close.
W2's,Underwriting,UW,Income,Approval,yes,ExternalPrint,,Provide copy of W2's for the past 2 years
VA - Nearest Relative,Underwriting,UW,Legal,Approval,yes,ExternalPrint,,"Veteran To Provide Name, Address, Telephone Number & Relationship For Nearest Living Relative.  Statement Must Be Signed By Veteran"
