Field ID,Label,Kind,Data type,Format,Option value,Option text,Where this option came from,Long-term loans using it,Known drift
ULDD.X177,ULDD Attachment Type,standard,String,STRING,Detached,Detached,declared by Encompass,483,
ULDD.X177,ULDD Attachment Type,standard,String,STRING,SemiDetached,SemiDetached,declared by Encompass,5,
ULDD.X181,ULDD - Temporary Buydown,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
ULDD.X181,ULDD - Temporary Buydown,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
URLA.X100,Borr Declarations 5b I,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
URLA.X100,Borr Declarations 5b I,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
URLA.X102,Borr Declarations 5b J,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
URLA.X102,Borr Declarations 5b J,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
URLA.X104,Borr Declarations 5b K,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
URLA.X104,Borr Declarations 5b K,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
URLA.X106,Borr Declarations 5b L,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
URLA.X106,Borr Declarations 5b L,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
URLA.X76,FHA Secondary Residence Indicator,standard,Boolean,YN,Y,FHA Secondary Residence,declared by Encompass,0,boolean-representation
URLA.X76,FHA Secondary Residence Indicator,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
URLA.X84,Borr Declarations 5a B,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
URLA.X84,Borr Declarations 5a B,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
URLA.X86,Borr Declarations 5a C,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
URLA.X86,Borr Declarations 5a C,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
URLA.X90,Borr Declarations 5a D,standard,Boolean,YN,Y,Yes,declared by Encompass,11,boolean-representation
URLA.X90,Borr Declarations 5a D,standard,Boolean,YN,N,No,declared by Encompass,479,boolean-representation
URLA.X92,Borr Declarations 5a D,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
URLA.X92,Borr Declarations 5a D,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
URLA.X94,Borr Declarations 5a E,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
URLA.X94,Borr Declarations 5a E,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
URLA.X96,Borr Declarations 5b F,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
URLA.X96,Borr Declarations 5b F,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
URLA.X98,Borr Declarations 5b H,standard,Boolean,YN,Y,Yes,declared by Encompass,0,boolean-representation
URLA.X98,Borr Declarations 5b H,standard,Boolean,YN,N,No,declared by Encompass,490,boolean-representation
VASUMM.X140,VA Management Tool - Include Section A In Recoupment Test,standard,Boolean,YN,Y,Yes,declared by Encompass,490,boolean-representation
VASUMM.X140,VA Management Tool - Include Section A In Recoupment Test,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
VASUMM.X141,VA Management Tool - Include Section B VA Funding Fee In Recoupment Test,standard,Boolean,YN,Y,Yes,declared by Encompass,490,boolean-representation
VASUMM.X141,VA Management Tool - Include Section B VA Funding Fee In Recoupment Test,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
VASUMM.X142,VA Management Tool - Include Section B Other In Recoupment Test,standard,Boolean,YN,Y,Yes,declared by Encompass,490,boolean-representation
VASUMM.X142,VA Management Tool - Include Section B Other In Recoupment Test,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
VASUMM.X143,VA Management Tool - Include Section C In Recoupment Test,standard,Boolean,YN,Y,Yes,declared by Encompass,490,boolean-representation
VASUMM.X143,VA Management Tool - Include Section C In Recoupment Test,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
VASUMM.X144,VA Management Tool - Include Section E In Recoupment Test,standard,Boolean,YN,Y,Yes,declared by Encompass,490,boolean-representation
VASUMM.X144,VA Management Tool - Include Section E In Recoupment Test,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
VASUMM.X145,VA Management Tool - Include Section F In Recoupment Test,standard,Boolean,YN,Y,Yes,declared by Encompass,490,boolean-representation
VASUMM.X145,VA Management Tool - Include Section F In Recoupment Test,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
VASUMM.X146,VA Management Tool - Include Section G In Recoupment Test,standard,Boolean,YN,Y,Yes,declared by Encompass,490,boolean-representation
VASUMM.X146,VA Management Tool - Include Section G In Recoupment Test,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
VASUMM.X147,VA Management Tool - Include Section H In Recoupment Test,standard,Boolean,YN,Y,Yes,declared by Encompass,490,boolean-representation
VASUMM.X147,VA Management Tool - Include Section H In Recoupment Test,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
VASUMM.X148,VA Management Tool - Include Lender Credit In Recoupment Test,standard,Boolean,YN,Y,Yes,declared by Encompass,490,boolean-representation
VASUMM.X148,VA Management Tool - Include Lender Credit In Recoupment Test,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
1066,Subject Property Estate Held,standard,String,STRING,FeeSimple,Fee Simple,declared by Encompass,489,
1066,Subject Property Estate Held,standard,String,STRING,Leasehold,Leasehold,declared by Encompass,0,
1149,Trans Details Mtg Originator,standard,String,STRING,ThirdParty,Broker,declared by Encompass,0,
1149,Trans Details Mtg Originator,standard,String,STRING,Seller,Seller,declared by Encompass,0,
1149,Trans Details Mtg Originator,standard,String,STRING,Correspondent,Correspondent,declared by Encompass,489,
1481,Trans Details Copy Loan # to Case #,standard,String,STRING,Y,Copy Loan Number to lender case number,declared by Encompass,488,
1481,Trans Details Copy Loan # to Case #,standard,String,STRING,N,N,declared by Encompass,1,
4008,Borrower Vesting Type,standard,String,STRING,Individual,Individual,declared by Encompass,12,
4008,Borrower Vesting Type,standard,String,STRING,Co-signer,Co-signer,declared by Encompass,0,
4008,Borrower Vesting Type,standard,String,STRING,Title only,Title only,declared by Encompass,0,
4008,Borrower Vesting Type,standard,String,STRING,Non Title Spouse,Non Title Spouse,declared by Encompass,0,
4008,Borrower Vesting Type,standard,String,STRING,Trustee,Trustee,declared by Encompass,0,
4008,Borrower Vesting Type,standard,String,STRING,Title Only Trustee,Title Only Trustee,declared by Encompass,0,
4008,Borrower Vesting Type,standard,String,STRING,Settlor Trustee,Settlor Trustee,declared by Encompass,0,
